Gene1,Gene2
RPL3,RPL37
RPL3,RPL36A
RPL3,EIF2S1
RPL3,EIF2S3
RPL3,EIF2S2
RPL3,SEC11A
RPL3,SEC11C
RPL3,SPCS1
RPL3,SPCS3
RPL3,SPCS2
PSMB5,UBA52
PSMB5,UBB
PSMB5,UBC
PSMB5,UBE2C
PSMB5,SKP1
PSMB5,RPS27A
PSMB5,TP53
PSMB5,RBX1
PSMB5,UBE2E1
PSMB5,UBE2D1
PSMB5,ODC1
PSMB5,TNKS
PSMB5,TNKS2
PSMB5,SMURF2
PSMB5,PTTG1
PSMB5,WWP1
PSMB5,FBXO5
PSMB5,TNF
PSMB5,GMNN
PSMB5,PTEN
PSMB5,TNFRSF12A
PSMB5,TRAF2
PSMB5,TRAF3
PSMB5,TNFRSF1B
PSMB5,SKP2
PSMB5,TNFSF14
PSMB5,TNFSF13B
PSMB5,OAZ1
PSMB5,RELB
PSMB5,TNFRSF13C
PSMB5,REL
PSMB5,RUNX3
PSMB5,ZSWIM8
PSMB5,TNFSF11
PSMB5,TNFSF12
PSMB5,TNFRSF11A
PSMB5,SUFU
PSMB5,OAZ2
PSMB5,PRICKLE1
PSMB5,VHL
PSMB5,RELA
PSMB5,RNF146
RPA2,TP53
RPA2,POLE
RPA2,POLE2
RPA2,XRCC1
RPA2,POLE3
RPA2,YWHAZ
RPA2,UBE2T
RPA2,POLE4
RPA2,RPS27A
RPA2,UBC
RPA2,UBA7
RPA2,UBA52
RPA2,TEX15
RPA2,UBB
MRPS7,MRPL17
MRPS7,MRPL16
MRPS7,MRPL2
MRPS7,MRPL13
MRPS7,MRPL11
MRPS7,MRPL19
MRPS7,MRPL27
MRPS7,MRPL33
MRPS7,MRPL21
MRPS7,MRPL36
MRPS7,MRPL32
MRPS7,MRPL15
MRPS7,MRPL20
MRPS7,MRPL9
MRPS7,MRPL43
MRPS7,MRPL3
MRPS7,MRPL40
MRPS7,MRPL24
MRPS7,MRPL4
MRPS7,MRPL47
MRPS7,MRPL46
MRPS7,MRPL49
MRPS7,MRPL12
MRPS7,MRPL41
MRPS7,MRPL44
MRPS7,MRPL18
MRPS7,MRPL1
MRPS7,MRPL54
MRPS7,MRPL38
MRPS7,MRPL14
MRPS7,MRPL48
MRPS7,MRPL34
MRPS7,MRPL30
MRPS7,MRPL45
MRPS7,MRPL37
MRPS7,MRPL22
MRPS7,GADD45GIP1
MRPS7,MRPL51
MRPS7,MRPL53
