AAK1,SPTBN1
AAK1,EXTL3
AAK1,TRIO
AAK1,SDCCAG8
AAK1,SPEN
AAK1,MAP4K4
AAK1,ACTR6
AAK1,EIF4G3
AAK1,CELSR1
AAK1,TOP2B
AAK1,GSK3B
AAK1,XPO1
AAK1,KHSRP
AAK1,HNRNPC
AAK1,MSH2
AAK1,WAC
AAK1,PSMC1
AAK1,PRPF6
AAK1,MCM4
AAK1,ERCC2
AAK1,FZR1
AAK1,RGP1
AAK1,WASF1
AAK1,CUL9
AAK1,SENP6
AAK1,CEP72
AAK1,PRKAR2A
AAK1,ACAP2
AAK1,TTL
AAK1,TIA1
AAK1,PARD3B
AAK1,RPL5
AAK1,CLTA
AAK1,CIT
AAK1,TRERF1
AAK1,RALY
AAK1,ST3GAL3
AAK1,TULP4
AAK1,MLLT1
AAK1,UBE2D2
AAK1,PEX11B
AAK1,BTBD3
AAK1,PUM1
AAK1,BRIP1
AAK1,PRPSAP2
AAK1,GPR161
AAK1,TPRKB
AAK1,SRD5A1
AAK1,NCAPG2
AAK1,CELF1
AAK1,DST
AAK1,EEF1A1
AAK1,ATP6V0D1
AAK1,SIK3
AAK1,PLCD3
AAK1,SCNM1
AAK1,SLMAP
AAK1,NLGN4Y
AAK1,NDEL1
AAK1,TPM4
AAK1,NFU1
AAK1,USP47
AAK1,ATF7IP
AAK1,PDE3A
AAK1,GPC5
AAK1,RNF182
AAK1,EXT1
AAK1,MAML2
AAK1,PDE4B
AAK1,UBE2G2
AAK1,ROBO2
AAK1,ZNF445
AAK1,SMYD3
AAK1,BLOC1S4
AAK1,SRSF10
AAK1,VKORC1L1
AAK1,PSAP
AAK1,ERO1A
AAK1,RPS4X
AAK1,MAK16
AAK1,MAN1A2
AAK1,MT-ND5
AAK1,NEURL1B
AAK1,GTF2I
AAK1,SIK1B
AAK1,RBBP5
AAK1,PTPA
AAK1,MAPKAP1
AAK1,ALG5
AAK1,TRIM25
AAK1,HNRNPA2B1
AAK1,NAGK
AAK1,AHNAK
AAK1,PTPN12
AAK1,PAICS
AAK1,CASZ1
AAK1,MRPS25
AAK1,TBC1D5
AAK1,AGO4
AAK1,UBAC2
AAK1,REV1
AAK1,FLNB
AAK1,GRHPR
AAK1,KIF23
AAK1,FAM13A
AAK1,IGF1R
AAK1,ARHGAP17
AAK1,DCAF6
AAK1,CAMKMT
AAK1,MEIS1
AAK1,NFIB
AAK1,HAUS6
AAK1,ADAM12
AAK1,LAMTOR1
AAK1,DLG5
AAK1,RMND5A
AAK1,RPIA
AAK1,SMG1
AAK1,SSBP3
AAK1,SKI
AAK1,NCK1
AAK1,B4GALT5
AAK1,CTHRC1
AAK1,CTNNB1
AAK1,COL3A1
AAK1,ROR2
AAK1,ANTXR1
AAK1,LIMS1
AAK1,GXYLT2
AAK1,SMAD2
AAK1,H2BC4
AAK1,PSMG4
AAK1,RFX7
AAK1,PLCB1
AAK1,HS6ST3
AAK1,B3GLCT
AAK1,MAN2A2
AAK1,ZNF780A
AAK1,CHSY3
AAK1,GFPT1
AAK1,ZNF587
AAK1,MT-ND6
AAK1,IPO9
AAK1,MT-CO2
AAK1,SMURF1
AAK1,RAET1G
AAK1,BRD2
AAK1,MBD5
AAK1,RPS29
AAK1,CEBPD
AAK1,HSPE1-MOB4
AAMP,ZNF207
AAMP,RABGAP1
AAMP,OSBPL5
AAMP,PRDM6
AAMP,CS
AAMP,VMP1
AAMP,ACTB
AAMP,XPO1
AAMP,FTL
AAMP,DNMT3B
AAMP,TPX2
AAMP,STRN4
AAMP,HSP90AB1
AAMP,HIF1A
AAMP,AHCY
AAMP,PGK1
AAMP,GABPB1
AAMP,LSM5
AAMP,GIT1
AAMP,MDN1
AAMP,VEGFA
AAMP,CCNG1
AAMP,MOB1A
AAMP,COX7A2L
AAMP,RPL5
AAMP,ARL4A
AAMP,RNF11
AAMP,TUBA1B
AAMP,USP9X
AAMP,AHNAK
AAMP,RPL23
AAMP,PRICKLE3
AAMP,AGPAT4
AAMP,CTNNA1
AAMP,PKM
AAMP,XAB2
AAMP,EPB41L2
AAMP,HSP90AA1
AAMP,RPLP0
AAMP,PRMT5
AAMP,KPNA3
AAMP,PPP6R1
AAMP,COPZ1
AAMP,GAPDH
AAMP,TPI1
AAMP,STMN1
AAMP,CIT
AAMP,STIL
AAMP,CKS2
AAMP,MCEE
AAMP,ATP6V1F
AAMP,CALML4
AAMP,UNK
AAMP,TPT1
AAMP,ST6GALNAC4
AAMP,SHF
AAMP,BAHD1
AAMP,ARHGAP17
AAMP,RPS2
AAMP,RPL13A
AAMP,RPL32
AAMP,NHP2
AAMP,RPL10
AAMP,NFIB
AAMP,AGPAT5
AAMP,EEF1A1
AAMP,MCM3AP
AAMP,USP24
AAMP,CAPN2
AAMP,FSTL1
AAMP,RPS14
AAMP,RPL13
AAMP,COL4A3
AAMP,CLIC4
AAMP,ZNF768
AAMP,LRFN4
AAMP,SPSB4
AAMP,ANO6
AAMP,DTX3
AAMP,MED14
AAMP,KPNA2
AAMP,CHEK2
AAMP,SUMO3
AAMP,PIGP
AAMP,TUBB
AAMP,NCOR2
AAMP,ZNF71
AAMP,CTNND1
AAMP,MT-ND5
AAMP,INPP5F
AAMP,MT-CO3
AAMP,COX20
AAMP,RACK1
AAMP,HLA-F
AAMP,SUPT4H1
AAMP,RPS29
AAMP,MCTS1
AAMP,DHRS11
AAMP,CLN6
AAMP,NEDD8
AAMP,GDF11
AAMP,HNRNPA1
AAMP,OS9
AAMP,BRIP1
AAMP,HS6ST1
AAMP,ARHGDIA
AAMP,SF3B4
AAMP,MCPH1
AAMP,SERPINH1
AAMP,ITPR1
AAMP,RNF20
AAMP,HOXB13
AAMP,G6PD
AAMP,CSTB
AAMP,CXCR5
AAMP,ZNF333
AAMP,AP2M1
AAMP,RPN1
AAMP,CPSF2
AAMP,IGF2
AAMP,EEF2
AAMP,INO80E
AAMP,TRIM8
AAMP,MYD88
AAMP,PPP1R14B
AAMP,RPL15
AAMP,FAF1
AAMP,RAB11B
AAMP,IKZF1
AAMP,NDOR1
AAMP,H1-0
AAMP,TEAD4
AAMP,SZT2
AAMP,CACNA1E
AAMP,MT-CO2
AAMP,RPL10A
AAMP,MT-ND2
AAMP,MT-CO1
AAMP,MT-ND3
AAMP,MT-ND4
AAMP,MT-ATP6
AAMP,NFKBIL1
AAMP,PHB2
AAMP,MT-ATP8
AAR2,POLA2
AAR2,ZNF638
AAR2,ACTB
AAR2,TXNL1
AAR2,HNRNPH3
AAR2,CDC25B
AAR2,HMOX2
AAR2,USP42
AAR2,PDE4D
AAR2,GNPDA1
AAR2,SF3B1
AAR2,CAPZA1
AAR2,ID1
AAR2,NR1D1
AAR2,CANX
AAR2,MATR3
AAR2,ST3GAL6
AAR2,IPO5
AAR2,STAG3
AAR2,MYO9A
AAR2,TOP2B
AAR2,SRCAP
AAR2,PDS5B
AAR2,NLRP1
AAR2,MICU1
AAR2,RAD51C
AAR2,DHX15
AAR2,MED28
AAR2,SRGN
AAR2,COX6B1
AAR2,PAICS
AAR2,CALU
AAR2,SERPINF1
AAR2,SORD
AAR2,ZFHX3
AAR2,NOB1
AAR2,COL8A1
AAR2,ADK
AAR2,RYK
AAR2,CIAO2B
AAR2,B2M
AAR2,TUBA1A
AAR2,POLH
AAR2,NEUROG2
AAR2,L1CAM
AAR2,NME2
AAR2,SIK1B
AAR2,TACO1
AAR2,PLCB2
AAR2,CUL4A
AAR2,MINK1
AAR2,TCF7L2
AAR2,ITGB1
AAR2,RBPMS
AAR2,AP3S2
AAR2,LSS
AAR2,NIPBL
AAR2,RPL13
AAR2,MCC
AAR2,CTPS1
AAR2,MARCKSL1
AAR2,UCP2
AAR2,MTHFR
AAR2,ZNF730
AAR2,OPA1
AAR2,SMN2
AAR2,EEF1G
AAR2,CHMP1B
AAR2,TEN1
AARS2,JADE2
AARS2,EIF3L
AARS2,FAM83D
AARS2,RPL18A
AARS2,PFN1
AARS2,PDE4D
AARS2,EEF1B2
AARS2,GORASP2
AARS2,NEK9
AARS2,DPPA4
AARS2,NCAPD2
AARS2,WNK1
AARS2,CACNB1
AARS2,SREBF1
AARS2,ACTB
AARS2,MAST2
AARS2,CAPN15
AARS2,USP5
AARS2,RNGTT
AARS2,PDE10A
AARS2,AGO2
AARS2,CNOT1
AARS2,COLGALT1
AARS2,ACTN4
AARS2,ELP3
AARS2,VAV3
AARS2,RERE
AARS2,CASK
AARS2,PRSS23
AARS2,MCM3AP
AARS2,HSP90B1
AARS2,MBD6
AARS2,RPL13
AARS2,PDE3A
AARS2,ORAI3
AARS2,SH2B1
AARS2,MTA1
AARS2,KIRREL1
AARS2,IQGAP3
AARS2,VKORC1L1
AARS2,TPM2
AARS2,MT-ND5
AARS2,MT-CO3
AARS2,NRAS
AARS2,CD24
AARS2,MRPS25
AARS2,SH3BP5
AARS2,PHF21A
AARS2,MTDH
AARS2,RER1
AARS2,ANAPC10
AARS2,GOLGA2
AARS2,TLN2
AARS2,TGIF1
AARS2,DLK1
AARS2,TSN
AARS2,PIP4K2B
AARS2,MATR3
AASDH,LAP3
AASDH,EPN1
AASDH,SP100
AASDH,FDFT1
AASDH,GNAS
AASDH,DDX17
AASDH,RBFOX2
AASDH,UBE2I
AASDH,COBL
AASDH,RAI1
AASDH,SLC11A2
AASDH,HMGCR
AASDH,GOLPH3
AASDH,HOXB1
AASDH,COPA
AASDH,CISD1
AASDH,UBE4B
AASDH,IGF1R
AASDH,SSH2
AASDH,IFNAR1
AASDH,GULP1
AASDH,RPS3A
AASDH,ANKRD44
AASDH,EVI5
AASDH,REST
AASDH,YWHAE
AASDH,GAPDH
AASDH,GPR89A
AASDH,KANSL1
AASDH,TARDBP
AASDH,ILF3
AASDH,ACTN4
AASDH,CAB39
AASDH,IFI44
AASDH,KIF11
AASDH,NOTCH1
AASDH,LYPD1
AASDH,APBB2
AASDH,NDUFS5
AASDH,UGP2
AASDH,ELOVL6
AASDH,RPS9
AASDH,PDE3A
AASDH,SMARCC1
AASDH,ZNF708
AASDH,PLCB1
AASDH,CHM
AASDH,TUBB
AASDH,SPTAN1
AASDH,ARHGAP8
AASDH,DDX21
AASDH,STXBP4
AASDH,CREB3L2
AASDH,MORF4L1
AASDH,RPL14
AASDH,HTT
AASDH,TXNRD1
AASDH,MT-ATP8
AASDH,RPS18
AASDHPPT,ANLN
AASDHPPT,LIMA1
AASDHPPT,PNN
AASDHPPT,KIF3B
AASDHPPT,AHCY
AASDHPPT,ESRP1
AASDHPPT,GPI
AASDHPPT,LARP4B
AASDHPPT,CENPF
AASDHPPT,STAG1
AASDHPPT,PANK3
AASDHPPT,PDS5A
AASDHPPT,PSME3
AASDHPPT,NASP
AASDHPPT,TPT1
AASDHPPT,CKAP2
AASDHPPT,RDX
AASDHPPT,TMBIM6
AASDHPPT,JDP2
AASDHPPT,MRPS5
AASDHPPT,PTBP1
AASDHPPT,MATR3
AASDHPPT,TRIO
AASDHPPT,CS
AASDHPPT,PKM
AASDHPPT,ALDH3A2
AASDHPPT,RPLP0
AASDHPPT,ARCN1
AASDHPPT,HNRNPL
AASDHPPT,TFAM
AASDHPPT,AKAP10
AASDHPPT,METAP2
AASDHPPT,PDE10A
AASDHPPT,DROSHA
AASDHPPT,AUP1
AASDHPPT,RRAGC
AASDHPPT,ITPR2
AASDHPPT,GGT7
AASDHPPT,DIAPH1
AASDHPPT,ROCK2
AASDHPPT,CUL4A
AASDHPPT,RPS11
AASDHPPT,RIT1
AASDHPPT,RANBP2
AASDHPPT,ZNF606
AASDHPPT,YWHAB
AASDHPPT,CFL1
AASDHPPT,RPL4
AASDHPPT,DHX36
AASDHPPT,RPS27
AASDHPPT,C1S
AASDHPPT,GPR39
AASDHPPT,PURA
AASDHPPT,GTF2F2
AASDHPPT,HMGB1
AASDHPPT,XRCC6
AASDHPPT,MT-CO1
AASDHPPT,HSD17B8
AASDHPPT,RBM14
AASDHPPT,SRGAP2
AASDHPPT,NUDT3
AASDHPPT,TAF9
AASDHPPT,ANKZF1
AASDHPPT,NDUFS4
AASDHPPT,GABRB3
AASDHPPT,RPS9
AASDHPPT,JUNB
AASDHPPT,RNF213
AASDHPPT,CADM1
AASDHPPT,MITF
AASDHPPT,H3-5
AASDHPPT,TPK1
AASDHPPT,METTL9
AASDHPPT,SPTAN1
AASDHPPT,RPS4X
AASDHPPT,SDAD1
AASDHPPT,MT-CO3
AASDHPPT,RPS18
AASDHPPT,ZNF718
AASS,SLC25A5
AASS,KMT2E
AASS,PAX6
AASS,JARID2
AASS,PAFAH1B1
AASS,BAZ1B
AASS,CDH1
AASS,PRSS8
AASS,PKM
AASS,TGFBR3
AASS,ATP2B1
AASS,ING3
AASS,NLE1
AASS,RFX3
AASS,SEPHS1
AASS,HNRNPC
AASS,HNRNPH3
AASS,SCD
AASS,APEX1
AASS,WDR59
AASS,EIF3J
AASS,ARHGEF18
AASS,PCOLCE
AASS,LSM5
AASS,NRF1
AASS,SPIN1
AASS,GAPDH
AASS,CMAS
AASS,PHC1
AASS,SRF
AASS,MRPL3
AASS,RND3
