Gene1,stId,name,Gene2,connected_driver_gene,gene_type,expression_matrix
ACTR5,ACTR5,ACTR5,COPS4,,0,0.3421180516490687
ACTR5,ACTR5,ACTR5,RAD23B,,0,0.3421180516490687
ACVR1,ACVR1,ACVR1,SMAD1,,1,-0.5865732910891192
ACVR1,ACVR1,ACVR1,SMAD5,,1,-0.5865732910891192
ACVR1,ACVR1,ACVR1,SMAD9,,1,-0.5865732910891192
ACVR1,ACVR1,ACVR1,BAMBI,,1,-0.5865732910891192
ACVR1,ACVR1,ACVR1,INHBB,,1,-0.5865732910891192
ACVR1B,ACVR1B,ACVR1B,BAMBI,,1,-0.1554658663350945
ACVR1B,ACVR1B,ACVR1B,CER1,,1,-0.1554658663350945
ACVR1B,ACVR1B,ACVR1B,INHBB,,1,-0.1554658663350945
ACVR1B,ACVR1B,ACVR1B,INHBC,,1,-0.1554658663350945
ACVR1B,ACVR1B,ACVR1B,LEFTY1,,1,-0.1554658663350945
ACVR1B,ACVR1B,ACVR1B,LEFTY2,,1,-0.1554658663350945
ACVR1B,ACVR1B,ACVR1B,NODAL,,1,-0.1554658663350945
ACVR2A,ACVR2A,ACVR2A,SMAD1,,1,-0.4372840687982356
ACVR2A,ACVR2A,ACVR2A,SMAD5,,1,-0.4372840687982356
ACVR2A,ACVR2A,ACVR2A,SMAD9,,1,-0.4372840687982356
ACVR2A,ACVR2A,ACVR2A,CER1,,1,-0.4372840687982356
ACVR2A,ACVR2A,ACVR2A,GDF5,,1,-0.4372840687982356
ACVR2A,ACVR2A,ACVR2A,INHBB,,1,-0.4372840687982356
ACVR2A,ACVR2A,ACVR2A,INHBC,,1,-0.4372840687982356
ACVR2A,ACVR2A,ACVR2A,LEFTY1,,1,-0.4372840687982356
ACVR2A,ACVR2A,ACVR2A,LEFTY2,,1,-0.4372840687982356
ACVR2A,ACVR2A,ACVR2A,NODAL,,1,-0.4372840687982356
ACVR2B,ACVR2B,ACVR2B,SMAD1,,3,1.0176847797806652
